Date,Close
2/7/2018,48.87
2/8/2018,46.84
2/9/2018,47.73
2/12/2018,48.15
2/13/2018,48.49
2/14/2018,49.45
2/15/2018,50.64
2/16/2018,50.71
2/20/2018,49.89
2/21/2018,49.43
2/22/2018,49.59
2/23/2018,50.5
2/26/2018,51.17
2/27/2018,50.73
2/28/2018,50.67
3/1/2018,49.71
3/2/2018,50.32
3/5/2018,51.29
3/6/2018,51.5
3/7/2018,51.72
3/8/2018,52.13
3/9/2018,52.97
3/12/2018,52.9
3/13/2018,52.58
3/14/2018,52.32
3/15/2018,52.37
3/16/2018,52.27
3/19/2018,51.95
3/20/2018,47.05
3/21/2018,47.02
3/22/2018,45.89
3/23/2018,44.79
3/26/2018,46.48
3/27/2018,45.38
3/28/2018,44.98
3/29/2018,45.75
4/2/2018,45.01
4/3/2018,44.89
4/4/2018,45.51
4/5/2018,45.96
4/6/2018,44.83
4/9/2018,44.9
4/10/2018,45.82
4/11/2018,45.61
4/12/2018,45.88
4/13/2018,46.08
4/16/2018,46.05
4/17/2018,46.66
4/18/2018,47.08
4/19/2018,46.82
4/20/2018,46.23
4/23/2018,45.8
4/24/2018,45.53
4/25/2018,45.75
4/26/2018,45.96
4/27/2018,45.53
4/30/2018,45.67
5/1/2018,45.95
5/2/2018,45.51
5/3/2018,45.06
5/4/2018,45.71
5/7/2018,46.07
5/8/2018,45.94
5/9/2018,46.58
5/10/2018,46.93
5/11/2018,46.82
5/14/2018,46.82
5/15/2018,46.81
5/16/2018,46.73
5/17/2018,46.54
5/18/2018,46.32
5/21/2018,47.21
5/22/2018,46.37
5/23/2018,46.9
5/24/2018,46.46
5/25/2018,47
5/29/2018,46.26
5/30/2018,47.05
5/31/2018,46.72
6/1/2018,47.35
6/4/2018,47.32
6/5/2018,47.13
6/6/2018,47.75
6/7/2018,47.68
6/8/2018,48.18
6/11/2018,48.19
6/12/2018,48.45
6/13/2018,48.27
6/14/2018,45.9
6/15/2018,46.28
6/18/2018,46.52
6/19/2018,46.27
6/20/2018,42.82
6/21/2018,43.1
6/22/2018,44.1
6/25/2018,44.28
6/26/2018,44.41
6/27/2018,43.45
6/28/2018,43.84
6/29/2018,44.06
7/2/2018,44.95
7/3/2018,44.72
7/5/2018,45.41
7/6/2018,46
7/9/2018,46.73
7/10/2018,46.99
7/11/2018,47.64
7/12/2018,48.15
7/13/2018,48.63
7/16/2018,48.46
7/17/2018,48.9
7/18/2018,48.64
7/19/2018,48.44
7/20/2018,48.52
7/23/2018,48.67
7/24/2018,48.67
7/25/2018,48.95
7/26/2018,48.87
7/27/2018,48.63
7/30/2018,47.73
7/31/2018,47.68
8/1/2018,47.35
8/2/2018,47.9
8/3/2018,48.47
8/6/2018,48.67
8/7/2018,48.48
8/8/2018,48.39
8/9/2018,48.54
8/10/2018,48.32
8/13/2018,48.01
8/14/2018,48.23
8/15/2018,47.84
8/16/2018,48.1
8/17/2018,48.36
8/20/2018,48.42
8/21/2018,48.41
8/22/2018,48.8
8/23/2018,48.96
8/24/2018,49.26
8/27/2018,49.33
8/28/2018,48.64
8/29/2018,48.89
8/30/2018,48.38
8/31/2018,48.58
9/4/2018,48.58
9/5/2018,48.04
9/6/2018,47.71
9/7/2018,47.81
9/10/2018,48.86
9/11/2018,48.92
9/12/2018,49.34
9/13/2018,48.96
9/14/2018,49.25
9/17/2018,49.18
9/18/2018,49.03
9/19/2018,49.43
9/20/2018,50.43
9/21/2018,51.1
9/24/2018,51.24
9/25/2018,51.72
9/26/2018,51.63
9/27/2018,51.69
9/28/2018,51.56
10/1/2018,51.8
10/2/2018,50.23
10/3/2018,49.75
10/4/2018,49.47
10/5/2018,49.35
10/8/2018,49.36
10/9/2018,48.87
10/10/2018,47.4
10/11/2018,46.78
10/12/2018,47.38
10/15/2018,47.12
10/16/2018,48.23
10/17/2018,47.86
10/18/2018,47.38
10/19/2018,47.59
10/22/2018,47.94
10/23/2018,47.99
10/24/2018,46.76
10/25/2018,47.96
10/26/2018,47.32
10/29/2018,47.02
10/30/2018,48.57
10/31/2018,48.84
11/1/2018,48.59
11/2/2018,48.83
11/5/2018,49.02
11/6/2018,49.25
11/7/2018,50.26
11/8/2018,50.43
11/9/2018,50.61
11/12/2018,49.22
11/13/2018,49.51
11/14/2018,48.84
11/15/2018,50.63
11/16/2018,51.17
11/19/2018,49.55
11/20/2018,48.33
11/21/2018,48.62
11/23/2018,48.7
11/26/2018,48.26
11/27/2018,47.44
11/28/2018,48.19
11/29/2018,47.9
11/30/2018,48.76
12/3/2018,49.83
12/4/2018,48.75
12/6/2018,46.68
12/7/2018,46
12/10/2018,46.67
12/11/2018,46.46
12/12/2018,47.32
12/13/2018,47.23
12/14/2018,46.6
12/17/2018,45.73
12/18/2018,45.85
12/19/2018,46.45
12/20/2018,46.24
12/21/2018,44
12/24/2018,42.69
12/26/2018,44.59
12/27/2018,44.97
12/28/2018,44.82
12/31/2018,45.15
1/2/2019,45.22
1/3/2019,44.78
1/4/2019,46.71
1/7/2019,47.45
1/8/2019,47.88
1/9/2019,47.78
1/10/2019,47.82
1/11/2019,48.29
1/14/2019,48.18
1/15/2019,48.38
1/16/2019,48.06
1/17/2019,48.58
1/18/2019,49.27
1/22/2019,48.94
1/23/2019,49.24
1/24/2019,49.2
1/25/2019,49.8
1/28/2019,49.52
1/29/2019,49.61
1/30/2019,50.36
1/31/2019,50.23
2/1/2019,50.81
2/4/2019,51.03
2/5/2019,51.24
2/6/2019,51.26
2/7/2019,50.22
2/8/2019,51.03
2/11/2019,51.23
2/12/2019,51.22
2/13/2019,51.42
2/14/2019,51.48
2/15/2019,51.72
2/19/2019,52.02
2/20/2019,51.77
